URL,Filename,File Type,File Size (MB),Package Name,App Name,Play Integrity Verdict,PI Fail Reasons,PI Warning Reasons,Wake Lock Detected,WL Confidence,WL Needs Review,WL Vectors,QA Verdict,QA Notes
https://whitelabel-cdn-prod.digitalturbine.com/files/62b0ab1a-fe46-4a9c-8727-6961b06b0c1f.apk,62b0ab1a-fe46-4a9c-8727-6961b06b0c1f.apk,apk,32.02,at.a1.android.iapp,A1 Internet Optimizer,PASS,,,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),PASS,Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/6fc1ca2c-4af9-40cf-875e-1e694844c953.apks,6fc1ca2c-4af9-40cf-875e-1e694844c953.apks,apks,215.77,com.pixelfederation.ts2,TrainStation2,FAIL,Auto Protect (pairip),Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,FAIL,Play Integrity FAIL: Auto Protect (pairip)
https://whitelabel-cdn-prod.digitalturbine.com/files/7d9f4f3e-fb16-4bf2-9080-ca43813f86ce.apk,7d9f4f3e-fb16-4bf2-9080-ca43813f86ce.apk,apk,120.26,com.im.candychallenge3d,Candy Challenge 3D,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); MediaPlayer.setScreenOnWhilePlaying(true); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/2968b262-5b3f-4d1b-b785-2cc80ee2a275.apks,2968b262-5b3f-4d1b-b785-2cc80ee2a275.apks,apks,299.01,com.youmusic.magictiles,Magic Tiles 3,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/1c8b8118-17aa-4923-a68e-b7014c7568ee.apks,1c8b8118-17aa-4923-a68e-b7014c7568ee.apks,apks,112.65,com.tripledot.spider.solitaire.free.card.game,Spider Solitaire,PASS,,,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,PASS,Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/c586cfb0-0ebf-491b-83c1-5aef3ea652a8.apks,c586cfb0-0ebf-491b-83c1-5aef3ea652a8.apks,apks,26.36,com.tiktok.lite.go,TikTok Lite,WARNING,,Play Integrity API,Yes,medium,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); Window.addFlags(FLAG_KEEP_SCREEN_ON),WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (medium confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/7d4de7e1-89ce-4006-b155-b4a41c1e5e6e.apks,7d4de7e1-89ce-4006-b155-b4a41c1e5e6e.apks,apks,132.49,com.playvalve.dominoes,Domino Legends,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/37089293-aeaa-437b-adf1-2242dd3e5d05.apks,37089293-aeaa-437b-adf1-2242dd3e5d05.apks,apks,288.92,com.nar.zenmaster,Zen Master,WARNING,,Play Integrity API,Yes,high,No,Window.addFlags(FLAG_KEEP_SCREEN_ON); AXML keepScreenOn=true in res/layout/mbridge_reward_videoview_item.xml,WARNING,Play Integrity WARNING: Play Integrity API; Wake Lock detected (high confidence)
https://whitelabel-cdn-prod.digitalturbine.com/files/0646ceda-d41a-4bdb-b1e2-2758795daad1.apks,0646ceda-d41a-4bdb-b1e2-2758795daad1.apks,apks,579.44,com.road7.ddtankbr.gp,DDtank Origin,PASS,,,No,none,No,Raw string 'keepScreenOn' in classes.dex,PASS,
https://whitelabel-cdn-prod.digitalturbine.com/files/1a058da0-df12-45c5-ac33-950e366c3b89.apk,1a058da0-df12-45c5-ac33-950e366c3b89.apk,apk,46.3,com.mizmowireless.acctmgt,myCricket,PASS,,,No,none,No,Raw string 'keepScreenOn' in classes1.dex,PASS,
https://whitelabel-cdn-prod.digitalturbine.com/files/fc6b45cb-d33e-40a0-aff1-888b3539b23e.apk,fc6b45cb-d33e-40a0-aff1-888b3539b23e.apk,apk,27.95,com.trivago,trivago,PASS,,,No,high,No,,PASS,
